"Name","Address","Category","Source"
"Дрвенград (Кюстендорф Кустурицы)","Drvengrad, Mokra Gora, Serbia","День 1","day_01_belgrad_visegrad_sarajevo.md"
"Шарганская восьмёрка (станция Мокра Гора)","Šarganska osmica, Mokra Gora, Serbia","День 1","day_01_belgrad_visegrad_sarajevo.md"
"Граница Котроман (туда)","Granični prelaz Kotroman, Mokra Gora, Serbia","День 1","day_01_belgrad_visegrad_sarajevo.md"
"Мост Мехмед-паши Соколовича (ЮНЕСКО, «Мост на Дрине»)","Mehmed Paša Sokolović Bridge, Višegrad, Bosnia and Herzegovina","День 1","day_01_belgrad_visegrad_sarajevo.md"
"Андричград (обед)","Andrićgrad, Višegrad, Bosnia and Herzegovina","День 1","day_01_belgrad_visegrad_sarajevo.md"
"Башчаршия (вечерний первый выход)","Baščaršija, Sarajevo, Bosnia and Herzegovina","День 1","day_01_belgrad_visegrad_sarajevo.md; day_02_sarajevo_stup_paragliding.md"
"Себиль (pigeon square)","Sebilj, Sarajevo, Bosnia and Herzegovina","День 1","day_01_belgrad_visegrad_sarajevo.md"
"Ćevabdžinica Željo (раунд 1 чевапи-дерби)","Ćevabdžinica Željo, Kundurdžiluk, Sarajevo, Bosnia and Herzegovina","День 1","day_01_belgrad_visegrad_sarajevo.md; bosnia_trip_plan.md"
"Аэропорт Сараево (только сценарий B — самолёт)","Sarajevo International Airport, Sarajevo, Bosnia and Herzegovina","День 1","day_01_belgrad_visegrad_sarajevo.md; bosnia_trip_plan.md"
"Бувляк Ступ (ТОЛЬКО воскресенье, кэш)","Stup Flea Market, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md"
"Čajdžinica Džirlo (bosanska kafa, ćejf)","Čajdžinica Džirlo, Kovači, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md; bosnia_trip_plan.md"
"Ministry of Ćejf (кофе, альтернатива Džirlo)","Ministry of Ćejf, Sarajevo, Bosnia and Herzegovina","День 2","bosnia_trip_plan.md"
"Ашчиница ASDŽ (обед, ~60 домашних блюд, до 19:00)","Aščinica ASDŽ, Ćurčiluk mali 3, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md; bosnia_trip_plan.md"
"Ашчиница Hadžibajrić (альтернатива ASDŽ)","Aščinica Hadžibajrić, Sarajevo, Bosnia and Herzegovina","День 2","bosnia_trip_plan.md"
"Латинский мост (история Франца-Фердинанда)","Latin Bridge, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md"
"Кафе Andar","Andar, Sarači 22, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md"
"Кафе Nafaka","Nafaka, Luledžina 7, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md"
"Inat Kuća (ужин после полёта)","Inat Kuća, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md"
"Careva Ćuprija (ужин, альтернатива)","Careva Ćuprija, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md"
"Жёлтая крепость (закат, если полёт утром)","Yellow Fortress, Sarajevo, Bosnia and Herzegovina","День 2","day_02_sarajevo_stup_paragliding.md; day_01_belgrad_visegrad_sarajevo.md"
